Intent Display Name,Language,Phrase
,,"Yes indeed, couldn't be more relevant."
,,"Totally, they mesh well with my role."
,,"Yeah, bang on. That's my jam."
,,"Yuppers, I'm knee-deep in that stuff every day."
,,"Oh, for sure, that's exactly in my zone."
,,"Sure thing, they're perfectly aligned with my tasks."
,,"Yep, they're in line with what I'm all about at work."
,,"Absolutely, they're right on the money for me."
,,"Indeed, they're spot on for my daily grind."
,,"Yup, that hits the nail on the head for me."
,,"Yes, sirree! Couldn't be more perfect."
,,"Oh yeah, bang on. Super relevant."
,,"100%! They're exactly what I'm dealing with at work."
,,"Yeah, definitely. It's like you read my mind."
,,"For sure, they're smack dab in my wheelhouse."
,,"Yep, totally! Couldn't be more spot on."
,,"Oh, absolutely! They're right up my alley."
joining.alone,en,"just myself"
,,"alone"
,,"I'll be attending by myself."
,,"Just me, going alone."
,,"Planning to go solo."
,,"It's just gonna be me."
,,"Just on my own."
,,"Just me, no colleagues joining."
,,"I'm the only one from our team going."
,,"Only me, nobody else coming."
,,"Going solo for this one."
,,"Just a solo trip for me, not bringing anyone."
,,"I'll be there alone, no team with me."
,,"Just me, no one else from the office."
,,"I'm the only one going from our side."
,,"No colleagues, just me."
,,"It's just gonna be me, nobody else."
,,"Just me, flying solo."
,,"Gonna be there solo, no colleagues."
,,"I'm the only one from my place going."
,,"Alone, no one else coming from my end."
,,"Just me."
Other.for.not.attending,en,"It's a different sort of issue that I need to navigate before I can decide."
,,"My hesitation comes from a different area, not the usual suspects like budget."
,,"Actually, there's another consideration for me, outside of those aspects."
,,"It's an entirely different issue that's got me pausing, not those you mentioned."
,,"None of those, to be frank. I'm juggling another ball here."
,,"It's a separate issue that's keeping me from committing right now."
,,"My predicament is a bit out of the ordinary, not covered by those options."
,,"There's another piece to my puzzle here, not just the budget or topics."
,,"It's another thing entirely that's making me think twice."
,,"I'm facing a different challenge, not exactly the budget or the scheduling."
,,"Actually, it's another concern that's got me on the fence at the moment."
,,"Yeah, my roadblock is a different beast, not related to budget or topics."
,,"My issue doesn't really fall into those categories. It's something else."
,,"It's something else entirely. I've got a different kind of constraint I'm dealing with."
,,"Actually, my hang-up is none of the above. It's a bit more unique to my situation."
,,"My main concern is something a bit different from what you mentioned."
,,"To be honest, there's another factor at play here that's holding me back."
,,"It's a different hiccup for me, not really budget or schedule-related."
,,"None of those, really. I've got another issue I'm trying to sort out first."
,,"Actually, it's something else on my plate that's got me hesitating."
no.recieve,en,"I don't believe that I did"
,,"Sorry, not yet in the loop."
,,"No, I haven't checked it out."
,,"Nah, haven't heard about it."
,,"No, it hasn't come my way."
,,"Regrettably, I'm unaware."
,,"Nope, not in the know."
,,"Unfortunately, I haven't seen anything about it."
,,"Not really, didn't catch that."
,,"Negative, haven't got the info."
,,"No, I haven't received any updates."
,,"Nope, I'm out of the loop."
,,"Sorry, I haven't been informed."
,,"Nope, not on my radar."
,,"Not yet, I haven't received details."
,,"Regrettably, I'm not informed."
,,"Unfortunately, I haven't seen it."
,,"Sorry, I missed that information."
,,"Nah, haven't received anything."
,,"Negative, I'm not aware."
,,"Nope, didn't get it."
may.be.attending,en,"I'm looking at it me and a co-worker."
,,"I can not tell you right now"
,,"I didn't make any decision now."
,,"I don't think so"
,,"Leaning towards"
,,"Considering it"
,,"Not confirmed"
,,"In doubt"
,,"Not decided"
,,"Maybe so"
,,"On the edge"
,,"Inclined to"
,,"Not sure"
,,"On the fence"
,,"Ambivalent"
,,"Tentative"
,,"Indecisive"
,,"Hesitant"
,,"Doubtful"
,,"Unsure"
,,"Undecided"
,,"Uncertain"
,,"Perhaps"
,,"Possibly"
,,"I'm not sure"
,,"i am not sure about it"
,,"maybe"
,,"Perhaps, still figuring out if it fits my needs."
,,"Maybe, just need to look more into the topics and speakers."
,,"Leaning towards it, but not fully decided."
,,"It's possible, just gotta check a few things."
,,"Potentially, still weighing it up."
,,"Might go, just need to check some details first."
,,"Thinking about it, but not sure yet."
,,"Could be good, I'll make up my mind soon."
,,"Interested, but gotta think it over a bit more."
,,"Maybe, still checking my schedule and stuff."
,,"Haven't decided yet, but it does sound interesting."
,,"There's a chance, but need more time to decide."
,,"Not sure yet, still thinking about the agenda."
,,"It's on my list, but not committed yet."
,,"Undecided right now, still looking into it."
,,"Sounds cool, but I'm still not sure."
,,"Might be, just waiting on more details."
,,"Thinking about it, just gotta sort some stuff out first."
,,"Haven't ruled it out, still thinking."
,,"It's a thought, still gotta make up my mind."
,,"Maybe."
Confirmation.Day,en,"I will pay by the next coming (weekend)[@day, day]"
,,"this (Sunday)[@day, day]"
,,"this (Saturday)[@day, day]"
,,"I will pay this (Thursday)[@day, day]"
,,"next (tuesday)[@day, day]"
,,"This (Wednesdays)[@day, day] "
,,"(next month)[@day, day]"
,,"(next week)[@day, day]"
,,"(tomorrow)[@day, day]"
,,"(today)[@day, day]"
,,"(this week)[@day, day]."
,,"(Next week)[@day, day], I promise. First thing, I'll get in touch with my decision."
,,"I'll have a definitive answer for you by the end of (this week)[@day, day]."
,,"Give me a (couple of days)[@day, day]. I'm pretty keen, just need to sort a few things."
,,"(Tomorrow)[@day, day] for sure. I'll have a clearer picture by then."
,,"I'll be ready to confirm by (today)[@day, day]'s end. Just got to run it by my team."
,,"Expect my confirmation early (next week)[@day, day]. How's that sound?"
,,"(This week's)[@day, day] looking good. I'll finalize everything and let you know."
,,"(A couple of days)[@day, day] tops. Need to chat with my partner first."
,,"Definitely by (tomorrow)[@day, day]. I'll give you a shout after lunchtime."
,,"I can lock it in (today)[@day, day]. Just need to check one quick thing after we're done."
,,"I'm aiming for (next week)[@day, day]. Monday sound good to you?"
,,"Planning to have an answer for you by (Friday)[@day, day], latest."
,,"Let me take a (couple of days)[@day, day] to mull it over, but you'll hear from me soon."
,,"(Tomorrow)[@day, day] looks solid for me to confirm. I'll give you a buzz then."
,,"I should be good to go (today)[@day, day]. I'll shoot you a message after we hang up."
,,"(Next week)[@day, day] for sure. I'll have all my ducks in a row by then."
,,"I'm thinking by the end of this (week)[@day, day]. Just gotta double-check my plans."
,,"Give me a (couple of days)[@day, day]; just need to sort out my schedule a bit."
,,"I'll probably circle back by (tomorrow)[@day, day], got to check a couple of things first."
,,"Oh, I can hit you up with a confirmation later (today)[@day, day], no sweat."
yes.email,en,"yes"
,,"Yes, that's definitely my email."
,,"Absolutely, that's my email address."
,,"Correct, you've got it spot on."
,,"Right on, that's my email."
,,"Yep, that's the one!"
,,"Indeed, that's the email I use."
,,"Affirmative, that's right."
,,"Exactly, you've got my email."
,,"Yeah, you nailed it, that's my address."
,,"Absolutely, that's it."
,,"You got it, that's the right one."
,,"Yeah, that's the one I'm using."
,,"Correct! That's my email."
,,"Indeed, that's the one."
,,"Yeah, that's the email I use."
,,"Yep, you've got the right one."
,,"Exactly, that's my email."
,,"Yup, that's it."
,,"That's the one, got it right."
,,"Yeah, that's my email."
,,"Yep."
Yes.i.recieve,en,"I received the email and that I wanted to register"
,,"i think"
,,"yeah i think"
,,"I'm not sure but I think I received the information back in the days."
,,"yes i hear about it"
,,"OK, got it, I'm aware of the event now."
,,"Roger that, received information about the event."
,,"Aye, got the info about the event."
,,"Okay, I got the details about the event."
,,"Okey-dokey, received the event information."
,,"Affirmative, I've got the event info."
,,"Roger, got the event details, all set."
,,"Indeed, I've received information about the event."
,,"Alright, I'm aware of the event, got the info."
,,"Cool, got the event details, thanks."
,,"Right, I received information about the event."
,,"Yep, I got the details about the event."
,,"Got it, I'm informed about the event."
,,"Gotcha, got the info about the event."
,,"Absolutely, I received the event details."
,,"Sure did, I got the event info."
,,"Totally, I'm aware of the event details."
,,"Mhmm, got the information about the event."
,,"Yup, I received details about the event."
,,"Yeah, I got the info about the event."
No Right Person,en,"Yes, send me an email and I will forward it to the right person."
,,"I think it's better for one of my colleagues."
,,"Connect to my Boss."
,,"john handle these events"
,,"John handle stuff like this"
,,"my co worker will help you"
,,"i am not perfect person to talk"
,,"Perhaps my colleague would be better suited to handle this particular matter."
,,"For the best assistance, I recommend reaching out to another colleague."
,,"This falls outside of my scope; I recommend consulting someone else."
,,"In this instance, it might be prudent to involve another team member."
,,"I'm not the most qualified individual to address this concern."
,,"For a more accurate response, I suggest consulting with a different team member."
,,"I may not have the necessary insight to provide assistance in this case."
,,"I'm not the primary point of contact for this issue."
,,"I think it would be beneficial for you to speak with someone else regarding this."
,,"For this specific query, I would recommend speaking with my counterpart."
,,"It appears this falls under another colleague's area of expertise."
,,"I'm afraid I'm not the one you should be consulting on this."
,,"I'm not the designated person for handling this matter."
,,"I believe another colleague might be better suited to assist you."
,,"You might find better assistance by reaching out to someone else on our team."
,,"I'm not equipped to address this particular concern."
,,"It seems you may need to liaise with someone else regarding this issue."
,,"Could you please redirect this inquiry to the appropriate party?"
,,"Responsibility for this matter doesn't fall within my purview."
,,"I'm afraid I'm not the most suitable individual for this task."
,,"My colleague can help you in it."
,,"Can you connect to my co-worker."
,,"I'm not the person responsible"
,,"I'm not the right person."
joining.collegue,en,"I think one or two colleagues will be joining with me."
,,"Group"
,,"Heading there with my colleagues."
,,"My colleagues and I, we'll be there together."
,,"Yep, coming with my team."
,,"We're all going as a group from the office."
,,"Colleagues are coming with me."
,,"Won't be by myself; coworkers are joining."
,,"We, as a team, are all going."
,,"Yeah, a few colleagues and I are heading there together."
,,"Got some coworkers tagging along with me."
,,"Our whole department's planning to go."
,,"Not alone, bringing the team along."
,,"We're hitting it up as a work group."
,,"My colleagues are coming with me."
,,"Part of a group from our office that's attending."
,,"Several from our office are heading over."
,,"My team and I, we're all in."
,,"Going with a few colleagues."
,,"A bunch of us from work will be there."
,,"Yeah, going with one of my colleagues."
,,"Not solo; got some coworkers coming along."
,,"With my coworker."
,,"with colleague"
future.Event.will.not.attending,en,"No, I am busy person."
,,"I won’t be able to, but thanks for thinking of me."
,,"I’m going to have to bow out of this one."
,,"Unfortunately, I’m booked up."
,,"Sorry, but I won’t be able to make it."
,,"I’m afraid I’ll have to pass on this one."
,,"I’m going to sit this one out, but thanks."
,,"I wish I could, but I can’t."
,,"I’m not able to, but keep me in mind for the future."
,,"No can do, but maybe next time."
,,"I’m going to have to decline, but thank you."
,,"I appreciate the offer, but I can’t."
,,"Sadly, I have a lot on my plate right now."
,,"I’m going to have to say no this time."
,,"Regrettably, I won’t be able to attend."
,,"No thanks, I have other commitments."
,,"I’ll pass, but thanks for offering."
,,"Unfortunately, that won’t work for me."
,,"Sorry, I can’t make it."
,,"Not this time, but keep me posted."
,,"I’m afraid not, maybe next time."
Greeting.ask.how.you.are.doing,en,"I'm good. How are you?"
,,"How about yourself?"
,,"And yourself?"
,,"How about you?"
,,"And how about yourself?"
,,"How's everything going?"
,,"What's the latest news?"
,,"How have you been lately?"
,,"What's new on your end?"
,,"How's everything with you?"
,,"How's your day going?"
